id,title,mime,relative_path_in_backup,original_url,uploaded
139,favicon-32x32,image/png,2024/09/favicon-32x32-1.png,https://digex.agency/wp-content/uploads/2024/09/favicon-32x32-1.png,2024-10-30 13:49:43
1626,favicon-32x32,image/png,2024/09/favicon-32x32-2.png,https://digex.agency/wp-content/uploads/2024/09/favicon-32x32-2.png,2025-03-03 14:25:47
137,logo-GB,image/png,2024/09/logo-GB.png,https://digex.agency/wp-content/uploads/2024/09/logo-GB.png,2024-10-30 13:45:45
135,logo,image/png,2024/09/logo.png,https://digex.agency/wp-content/uploads/2024/09/logo.png,2024-10-30 13:44:31
1247,logoRGB,image/png,2024/09/logoRGB.png,https://digex.agency/wp-content/uploads/2024/09/logoRGB.png,2025-01-19 11:01:32
1273,Artboard 1,image/png,2024/10/Artboard-1.png,https://digex.agency/wp-content/uploads/2024/10/Artboard-1.png,2025-01-19 12:42:03
205,cover-100,image/jpeg,2024/10/cover-100.jpg,https://digex.agency/wp-content/uploads/2024/10/cover-100.jpg,2024-10-31 13:10:49
2945,dig,image/png,2024/10/dig.png,https://digex.agency/wp-content/uploads/2024/10/dig.png,2025-07-02 09:39:08
2946,logo-grey,image/png,2024/10/logo-grey-1.png,https://digex.agency/wp-content/uploads/2024/10/logo-grey-1.png,2025-07-02 09:40:50
164,logo-grey,image/png,2024/10/logo-grey.png,https://digex.agency/wp-content/uploads/2024/10/logo-grey.png,2024-10-30 14:08:38
3253,logodigex,image/png,2024/10/logodigex.png,https://digex.agency/wp-content/uploads/2024/10/logodigex.png,2025-07-03 09:30:38
673,01_shipping_container,image/jpeg,2024/11/01_shipping_container.jpg,https://digex.agency/wp-content/uploads/2024/11/01_shipping_container.jpg,2024-11-18 15:51:17
219,10,image/png,2024/11/10.png,https://digex.agency/wp-content/uploads/2024/11/10.png,2024-11-02 09:15:22
954,18416800_rm391-pf-s73-08-mockup,image/png,2024/11/18416800_rm391-pf-s73-08-mockup-1.png,https://digex.agency/wp-content/uploads/2024/11/18416800_rm391-pf-s73-08-mockup-1.png,2024-11-28 10:16:51
953,18416800_rm391-pf-s73-08-mockup,image/png,2024/11/18416800_rm391-pf-s73-08-mockup.png,https://digex.agency/wp-content/uploads/2024/11/18416800_rm391-pf-s73-08-mockup.png,2024-11-28 10:09:38
301,32dae0211325091.6720ee081dfbc,image/jpeg,2024/11/32dae0211325091.6720ee081dfbc.jpg,https://digex.agency/wp-content/uploads/2024/11/32dae0211325091.6720ee081dfbc.jpg,2024-11-06 11:02:54
951,359906428_1e365fbc-4ad5-41a2-a2d1-85d498789a1a,image/png,2024/11/359906428_1e365fbc-4ad5-41a2-a2d1-85d498789a1a.png,https://digex.agency/wp-content/uploads/2024/11/359906428_1e365fbc-4ad5-41a2-a2d1-85d498789a1a.png,2024-11-28 09:55:09
452,Arfgdfg 1,image/png,2024/11/Arfgdfg-1.png,https://digex.agency/wp-content/uploads/2024/11/Arfgdfg-1.png,2024-11-10 12:09:34
984,Artboard 1-100,image/jpeg,2024/11/Artboard-1-100.jpg,https://digex.agency/wp-content/uploads/2024/11/Artboard-1-100.jpg,2024-11-28 11:09:42
